Student_ID,Department,Semester,Subject_ID,Internal_Marks,External_Marks,Final_Marks,Attendance,Grade,Grade_Point,Pass_Fail
ST00001,Mechanical,3,ME101,20,51,71,96,B+,8,Pass
ST00001,Mechanical,3,ME102,23,20,43,69,D,5,Pass
ST00001,Mechanical,3,ME103,30,42,72,92,B+,8,Pass
ST00001,Mechanical,3,ME104,19,67,86,95,A,9,Pass
ST00001,Mechanical,3,ME105,16,65,81,61,A,9,Pass
ST00002,Information Technology,4,IT101,27,70,97,73,A+,10,Pass
ST00002,Information Technology,4,IT102,17,68,85,70,A,9,Pass
ST00002,Information Technology,4,IT103,21,30,51,61,C,6,Pass
ST00002,Information Technology,4,IT104,15,65,80,70,A,9,Pass
ST00002,Information Technology,4,IT105,27,24,51,97,C,6,Pass
ST00003,Data Science,2,DS101,28,51,79,61,B+,8,Pass
ST00003,Data Science,2,DS102,18,23,41,87,D,5,Pass
ST00003,Data Science,2,DS103,20,44,64,73,B,7,Pass
ST00003,Data Science,2,DS104,21,60,81,72,A,9,Pass
ST00003,Data Science,2,DS105,20,37,57,75,C,6,Pass
ST00004,Artificial Intelligence,7,AI101,23,55,78,62,B+,8,Pass
ST00004,Artificial Intelligence,7,AI102,20,69,89,100,A,9,Pass
ST00004,Artificial Intelligence,7,AI103,25,23,48,71,D,5,Pass
ST00004,Artificial Intelligence,7,AI104,19,44,63,84,B,7,Pass
ST00004,Artificial Intelligence,7,AI105,21,69,90,99,A+,10,Pass
ST00005,Artificial Intelligence,2,AI101,24,34,58,70,C,6,Pass
ST00005,Artificial Intelligence,2,AI102,17,36,53,78,C,6,Pass
ST00005,Artificial Intelligence,2,AI103,28,49,77,99,B+,8,Pass
ST00005,Artificial Intelligence,2,AI104,26,48,74,82,B+,8,Pass
ST00005,Artificial Intelligence,2,AI105,24,32,56,98,C,6,Pass
ST00006,Artificial Intelligence,7,AI101,15,24,39,79,F,0,Fail
ST00006,Artificial Intelligence,7,AI102,22,68,90,80,A+,10,Pass
